Name,Rating,Review Title,Review Date,Review Content
Brady79,3.0 out of 5 stars,Not worth the hype,Reviewed in the United Kingdom on 22 February 2021,An absolute anti climax!! No actual Ps5 games to play or that have been released yet. No VR menu to separate the games.  Graphics are good but not that much difference to ps4 pro. Haptic controls are nice but will any games actually use this? Probably not!! Sony should be hanging their heads in shame!!
Amarjit Uppal,5.0 out of 5 stars,Great,Reviewed in the United Kingdom on 28 November 2020,"Great console, truly shambolic how it was released and that scalpers have gotten away with taking so many consoles."
matthew cirino,5.0 out of 5 stars,Immense!,Reviewed in the United Kingdom on 22 November 2020,"Impeccable piece of electronic apparatus. Colour is a bit odd considering most devices are black, but it’s a well made unit. Controller is great, love the adaptive triggers. I’ve been lucky enough to secure several of these and sold each one for a tidy profit, which means my console is more than paid for (thanks Amazon!)"
Tim Grime,5.0 out of 5 stars,Great!,Reviewed in the United Kingdom on 15 February 2021,Was delivered on release date. Previously I was using the original PS4 and this is big step up graphics wise especially on a 4k TV. You might want to also budget for an external hard drive if you want to play your old PS4 games as the PS5 storage size isn't great and soon fills up once you have a few games installed. The PS4 games also look great and a lot smoother frame rates.Dual sense controller is brilliant and battery life is OK.Did have issues with some games crashing quite frequently at first like Black Ops but this seems to have been rectified now.
MathersMahmood,5.0 out of 5 stars,Fantastic Console. Sony Wins Again.,Reviewed in the United Kingdom on 23 November 2020,Excellent console for next gen gaming. Sometimes it can be a little loud when loading a disk but other than that it’s great.The main thing you will notice is how fast the thing is! The loading times are super quick and it’s sleek.The console is massive though. So bare that in mind.
Sam,5.0 out of 5 stars,Next Gen is here!,Reviewed in the United Kingdom on 20 November 2020,"Absolutely love the new PS5 console. I am glad I went with this over the Series X. It's extremely fast and powerful, the new DualSense controller is also very impressive with the haptics and adaptive triggers. Game downloads are quicker too and the 4K/120fps works very well with the supplied HDMI 2.1 cable."
Biggerontheinside,5.0 out of 5 stars,What can you say?,Reviewed in the United Kingdom on 17 February 2021,"It's a PS5 and its exactly what you would expect from SONY.  Top quality product, but it is also one helluva big machine! Make sure you have the space."
KEVIN,5.0 out of 5 stars,Controllers not the best.,Reviewed in the United Kingdom on 21 February 2021,Not used myself as was for the lad. The console is great...so much better then the older models as you would expect. Not had any issues and he hasn't complained about it so must be all good. The downside is the controllers seem to be having issues....just google and you will see problems.....had to get a replacement controller.
Kelvin,5.0 out of 5 stars,Great bit of kit!,Reviewed in the United Kingdom on 19 March 2021,"+: fast delivery, great finish and features, no loading times, instantly unlocks the potential of your 4k HDR TV.-: I don't like that I have to choose between 30fps and best graphics + ray tracing or 60fps and standard graphics. I hope software can change this in time."
fmant,5.0 out of 5 stars,Great console!,Reviewed in the United Kingdom on 28 November 2020,"Great console, fast loading, amazing specs and good game launch line-up (Demon's Souls is a must). Controller and 3D audio make some games really feel next-gen. Sony has said that VRR will be added in the future and the storage does not bother me personally as it does allow you to download and switch between quite a few games really, it's only people who want to have the majority of their games downloaded and ready to play instantly that may have a problem....you can always re-download them!"
Will,5.0 out of 5 stars,Above and beyond my expectations!,Reviewed in the United Kingdom on 6 December 2020,"Absolutely fantastic - continues to go above and beyond expectations. Incredibly quick, brilliant controller and very quiet even when playing graphically demanding games. I can’t wait to see what the future of console gaming will look like and for this console to show what it’s really capable of in years to come!"
ETHFLEX,5.0 out of 5 stars,It’s a PS5,Reviewed in the United Kingdom on 2 April 2021,"What do I need to say? It’s a ps5. Definitely worth the money especially that u can play all your PS4 titles as well as the enhanced for ps5 ones. Graphics, frame rate, controller are great. The haptic feedback and adaptive triggers really immerse you, especially in a game like COD where u get great trigger feedback. Overall, paired with the right tv, this console is the perfect upgrade and looks amazing. Definitely recommend an OLED if your interested in getting the most out of your PS5"
Anthony C.,5.0 out of 5 stars,Worth the hype and the wait!,Reviewed in the United Kingdom on 19 November 2020,"Well, it’s huge, but it’s brilliant! Lightening quick load times and a great interface. I love the new controller with its haptic feedback and so far, everything has worked seamlessly. Considering the tech inside, I’d say it was exceptional value for money.If you have a PS Plus subscription, you get a library of some of the best games of the past few years too, including Fallout 4 and Monster Hunter.Thank you Sony!"
Carl H.,5.0 out of 5 stars,Truly nextgen,Reviewed in the United Kingdom on 20 November 2020,An amazing console truly next gen. At a fantastic price as well can't believe they're selling it at a loss to start with. The way the market is going to crash and the demand logistics of making these consoles will mean they are hard to get. PlayStation breaking all records in sales. Only about 1% of people who want one will get one before Christmas. 3% by March and maybe eight to 10% by the end of the year. It won't go down in price maybe up. People's inempt understanding of the situation has made them frustrated and of course in a blame society it's everyone else's fault but there's for not reading the situation .10 out of 10 for PlayStation
Timo Werner,5.0 out of 5 stars,Amazing Next Gen Console!,Reviewed in the United Kingdom on 2 February 2021,Everything you expect from a next gen console. Simply amazing graphics and load times. Slightly larger and awkward but the performance really makes up for this. Do not buy from ebay at inflated prices whatever you do.
jack dye,5.0 out of 5 stars,Must have,Reviewed in the United Kingdom on 3 April 2021,Library is a bit thin right now (early April 2021) but everything I’ve played on it has played great. Can’t wait for the big titles to come out later in the year. Got both a PS5 and an XBOX series X in their launch week - the XBOX has maybe been turned on 3 times since the first week I got it. I think that tells you all you need to know.
Rameez,5.0 out of 5 stars,Brilliant - and this is just the start,Reviewed in the United Kingdom on 20 November 2020,"Brilliant console and I have only had it for a few hours. Sony have really delivered with this one. The immersive experience is now on another whole different level rather than just your controller shaking (PS4 controller). You can now feel everything that happens in the game in the palm of your hands with the new PS5 controller and as more games will come out and utilize the haptic feedback it will only get better. If you can get one, it is highly recommended."
Mr Jones,5.0 out of 5 stars,Very quiet!,Reviewed in the United Kingdom on 21 November 2020,"After the jet engine like sounds of the Ps4, this is a a joy to have in the living room.I love the new controllers too, very ergonomic. They also charge via a USB C connection which always feels more robust.Very pleased with functionality so far, but still building up familiarity with it."
chris styles,5.0 out of 5 stars,Ps5,Reviewed in the United Kingdom on 8 January 2021,Can't say enough how great the ps5 is had it since launch in the UK its an amazing console definitely would recommend playstation fans getting one
mart,5.0 out of 5 stars,PS5 console one of the lucky ones,Reviewed in the United Kingdom on 20 November 2020,"I was one of the few people who managed to order the PS5 Thursday afternoon and it was delivered the day after, what more can you ask for. The console is considerable larger than the PS4 but it looks super slick. The graphics are amazing and the added bulk to the controller is completely understandable when you realise what is included in it, hearing players voices through the controller is brilliant and the sound is so clear. I would definitely recommend the upgrade"
Matthew Smithers,4.0 out of 5 stars,Finally Got one after waiting months and try and fail on restocks,Reviewed in the United Kingdom on 10 March 2021,"Arrived safely,Due to the size of the console I was worried it wouldn't fit where i wanted it but it was fineNow I wait for more games Exclusive to PS5 or games with upgrades etcGonna take some time getting used to the new Dashboard but looking forward see if the games that made my PS4 sound like a Jet Engine do any better on the PS5"
Daniel W.,5.0 out of 5 stars,Ps5 a must buy for any one,Reviewed in the United Kingdom on 23 November 2020,"Bit of a beast of a item, but that doesn’t matter because it is one amazing bit of hardware! No waiting around ages for a game or even console to load. Games are played and visually at the best quality you could ask for on a console.One downfall, hard drive needs to be bigger.But 100% recommend."
Josh Ireland,5.0 out of 5 stars,10/10,Reviewed in the United Kingdom on 20 November 2020,Getting it was crazy but even due to how much demand there was item still arrived next day mid day and it’s definitely worth all the hype. Highly recommend
lauren,5.0 out of 5 stars,Over the moon with Amazon,Reviewed in the United Kingdom on 20 November 2020,After checking lots of different websites all morning yesterday and all saying sold out I must of been lucky to find this little gem as once I paid for it they were sold out again!Next day delivery from Amazon gonna have a super happy other half this crimbo! Thanks Amazon!!
Ric Brook,3.0 out of 5 stars,I would wait for now.,Reviewed in the United Kingdom on 26 April 2021,"Not impressed with the new UI, not a fan of the new controller, it simply feels like the console was released too early."
Corruthers,5.0 out of 5 stars,Playstation Power,Reviewed in the United Kingdom on 30 January 2021,After months of waiting finally have one. Very pleased with console. I have always been a PlayStation fan. Bought the Japanese PS1 at launch. Only one I have missed is the PS3. The PS5 has huge potential. Looking forward to the journey. Thanks Sony.
Scorpius,5.0 out of 5 stars,Best Console I've ever owned!!,Reviewed in the United Kingdom on 27 November 2020,"So fast , great new controller, had a few issues at first with waking from rest mode but last patch seem's to have resolved this, loading times and respawn times are like playing on an SSD based PC, very fast and smooth, highly recommended, if your a Souls fan you'll definitely want to play the new Demons Souls remake, its an amazing experience on this Console."
J. lyward,5.0 out of 5 stars,I'm pretty sure it's alive,Reviewed in the United Kingdom on 1 December 2020,"I'm pretty sure there's some next level extraterrestrial business going on inside this machine, they say the liquid metal is used for cooling but I'm starting to think it's a sentient being not unlike the liquid metal terminator from T2, sometimes it looks at me and it scares me, I've also found it in different places around the house,usually surrounded by other electronic devices as if they are having a meeting or something."
Sarah,5.0 out of 5 stars,The must have console,Reviewed in the United Kingdom on 14 March 2021,"As we all know these PS5 consoles are like gold dust at the moment. As soon as I got wind that they were dropping on Amazon, I was on it. Ordering was straight forward and took no time to secure. I think being a registered Amazon and Prime customer made my order smooth and quick. I have a very happy son, thanks Amazon!"
Loredana,5.0 out of 5 stars,Great console +++,Reviewed in the United Kingdom on 14 April 2021,"I am so happy that I have the chance to buy one.My son really want it for so many months now.I receive it very well pached, and we are so happy with it so far.Definetely recommend this to everyone !!!Thank you."
euan,1.0 out of 5 stars,Its stopped working,Reviewed in the United Kingdom on 9 December 2020,I cant play any games on it after 2 weeks and Playstation Support wont get back to me.
