Name,Rating,Review Title,Review Date,Review Content
mr a j marginson,4.0 out of 5 stars,Great except a constant whirring...,Reviewed in the United Kingdom on 25 November 2020,"I suppose the other reviews cover the great qualities of the console, its epically fast and slick...Unlike some of the major issues facing some PS5s, the one I have has one flaw, the loud sound it makes when it is running a game (digital game, not disc). Its so annoying that I listen to podcasts while playing to drown it out...I am not sure if this is to do with fan speed, or there is maybe an internal issue I am unaware of as it does run fine otherwise..."
MrsTilley,5.0 out of 5 stars,Worth the money.,Reviewed in the United Kingdom on 12 December 2020,With the playstation plus giving free games its so worth it and the graphics are just awesome.
GTJ,5.0 out of 5 stars,What a machine!,Reviewed in the United Kingdom on 23 November 2020,Was extremely lucky to be able to get one in the 10 seconds window it was on sale on Friday. It's an extremally fast machine with zero loading time. graphics are amazing. not many games out though but that's to be expected.
Connor,5.0 out of 5 stars,Finally able to get my own PS5 amazing item!!!,Reviewed in the United Kingdom on 24 February 2021,"Been looking around for a Playstation for such a long time and I was finally able to purchase one directly through Amazon. The chances of getting this product is so slim and I am very happy and glad that Amazon gave me the option to checkout this product. I have recently been playing on it since purchasing and I have had no problems except that I am always on it!!! Anyone thinking to get a Playstation should just go ahead and get one, you won't regret it!"
John T.,5.0 out of 5 stars,Don't give in to scalpers!,Reviewed in the United Kingdom on 25 March 2021,"Well worth the wait! First off, don't give in to scalpers just buy a one month trial of a stock checker app and have all your info input so you can one click buy! Don't let them win!The console is much bigger and heavier than the ps4 pro but the performance is amazing! Phenomenal load times and insane frame rates! The menu and store UI/UX needs work but I'm sure that'll be a patch later."
Chris,4.0 out of 5 stars,Finally the wait is over!,Reviewed in the United Kingdom on 5 March 2021,So glad I was one of the lucky ones to get my hands on this for a now belated gift for my brother!Thanks Amazon.Delivered via DPD.Shame the console box was damaged (see photo) (hence the 4 stars) which had saddened me as my brother is a collector of sorts but due to the very limited stock we'll just have to settle having a damaged box :-(
SGS,5.0 out of 5 stars,Finally got one!,Reviewed in the United Kingdom on 3 March 2021,"Superb, managed to get within 2 minutes of it coming on sale. Well packaged, delivered by DPD so very reliable service. Console itself...everything that was hoped for a very happy teenager in the house. Surpasses previous consoles, you do actually see the difference as we'd wondered if there would be much to justify the upgrade.Yes, in every way."
Matthew Paul davies,5.0 out of 5 stars,A master piece of tech. Need I say more??!!!,Reviewed in the United Kingdom on 20 November 2020,The PS 5 is truly amazing. Received it on the day of release so was happy with that too. Played multiple games on it and each time I play I’m blown away anew. My most prized possession. The controller is next level. 4K gaming at its best.
elizabeth templeman,5.0 out of 5 stars,A worthy leap,Reviewed in the United Kingdom on 23 November 2020,"It’s amazing, a worthy leap from ps4.The controller is immense and really makes you feel like part of the game.Barely any loading times means you play it more as you know within seconds you’ll be immersed in the game.I hadn’t had 4K gaming before so that and the frame mate means a huge leap in visuals and smoothness for me, the detail I can see now when I’m playing is incredible.All in all this has been worth the excitement and I love it."
Ethan,5.0 out of 5 stars,Simply Awesome!!,Reviewed in the United Kingdom on 2 April 2021,Awesome console. Controller feels super premium. Graphics are awesome. Definitely give Demon’s Souls a try!Only issues I’ve had include:a couple game crashesDisc drive randomly spins up quite loud infrequentlycontroller battery seems to die fairly quickly (maybe 4-8 hours playtime)
Ian,5.0 out of 5 stars,It’s great!,Reviewed in the United Kingdom on 26 November 2020,"I was seemingly very lucky to snag this on launch day. So far it’s been excellent - but I am truly rubbish at Demons Souls!Quiet, quick to load everything so far and looks great on a 4K HDR TV (Q95T). It’s big - as most purchasers will be aware - but thankfully fit in my TV cabinet.Very pleased!"
Guy Sadler,5.0 out of 5 stars,"Slick, Powerful and a huge achievement for Sony!",Reviewed in the United Kingdom on 20 November 2020,"Fantastic upgrade from the PS4. I preordered back in September and Amazon delivered on time on launch day so I cannot complain.It’s lightning quick, looks fantastic, and runs very quietly (my PS4 sounded like a plane talking off!)I’ve only played Miles Morales so far but it is such a stunning game, it runs perfectly in Fidelity mode and in performance you see just how powerful the PS5 is as everything is silky smooth.The gap between PC and Console is narrowing and this, is the future!"
Natasha,5.0 out of 5 stars,It’s worth every penny,Reviewed in the United Kingdom on 21 November 2020,"It is a very fast console, I loaded into Spider-Man remastered in 13 seconds from cold boot. It makes no noise whatsoever, I played Cold War for 2 hours and during that time the PlayStation 5 made no noise whatsoever. And not to mention the graphics and ray tracing! I’ve used this on both 1080p monitor and 4K TV and both were an equally amazing experience so if you only have a 1080p screen trust me it’s still worth it. I was lucky to order one on November 19th. So if they go back in stock. Try getting one quickly!"
lesleyh,5.0 out of 5 stars,"I’ve been lucky to get one, and not disappointed in the slightest!",Reviewed in the United Kingdom on 23 March 2021,The console itself is fantastic! Sony have outdone themselves.Amazon have been great too. Bought on the Wednesday and delivered by 3pm the next day.All round great buying experience
Refresher,5.0 out of 5 stars,Stunning!,Reviewed in the United Kingdom on 21 November 2020,"Amazing console. Very fast with loading and quiet during load and gameplay. Great console design, consumer friendly interface.The best option for next gen if you're looking to play great exclusive games and triple A games at a extremely high standard."
Shaun,4.0 out of 5 stars,Flawless except one thing...,Reviewed in the United Kingdom on 2 May 2021,The buzzing from the power supply under load is very annoying and the unit itself is extremly bulky and large.Otherwise its an absolute beast of a machine in every way.
wazz,5.0 out of 5 stars,Glad I didn't have to wait like the rest of those without one,Reviewed in the United Kingdom on 26 March 2021,"Received on launch day and can't stop playing it, I bought a series x too on launch which has rarely been used so may sell it simply for the fact that it's gathering dust, may use the ps5 for the multiplayer games and the series x for campaign games"
C P Gorman,3.0 out of 5 stars,Amazing controller when it works,Reviewed in the United Kingdom on 14 March 2021,I like everything apart from the ridiculous amount of time it took to get hold of one (obviously not Amazon's fault) and controller starting to drift after less than 3 weeks!
Advocate,5.0 out of 5 stars,Superb!,Reviewed in the United Kingdom on 11 February 2021,"Definitely lives up to all of the hype, but so far there aren’t many “must have” PS5 games to play. Fortunately the backwards compatibility with PS4 games is outstanding so I’m busy playing through all the PS4 games that I never finished but at improved resolutions and frame rates."
Mohammed Amir Zinga,5.0 out of 5 stars,Amazing!,Reviewed in the United Kingdom on 22 February 2021,"I was a bit sceptical about how much of a true upgrade this would be over a PS4 Pro, but my word it really does feel next gen. The controller in particular is a huge upgrade, highly recommend Spiderman!"
James Miller,4.0 out of 5 stars,Amazing console with a few shortcomings,Reviewed in the United Kingdom on 3 April 2021,"Great console a little big but that isn't an issue for me. My problems are with the controller and the lies surrounding the 'silent' console. Firstly, the controller is very uncomfortable for me due to being wider than the dualshock4. Finally, the fan noise. It's noticeable during gameplay it is very faint though. However once an hour it will get about as loud as a PS4 PRO due to checking if the disk has a license. During downloads it's also loud."
Chris,5.0 out of 5 stars,"Great service, great machine.",Reviewed in the United Kingdom on 21 November 2020,Amazing console. Managed to get hold of this on launch day thanks to Amazon. It was the only site that did not crash and check out was quick and easy like any other order. It arrived the next day too which was impressive considering the demand.As for the console it really is a quick machine with the controller the highlight of the experience so far.
SENTINEL BLACK,5.0 out of 5 stars,excellent console and delivery from amazon,Reviewed in the United Kingdom on 31 January 2021,"you can hardly go wrong ordering with amazon, recieved the package as well as a very good verification process where you give the delivery man a one time password ensuring you recieve your package safely and in good condition, would add pictures but writing on PC"
paul,5.0 out of 5 stars,Superb,Reviewed in the United Kingdom on 28 November 2020,"Beautful machine and well worth the wait. the only thing that detracts from it,for me,is the small storage space. I would've paid more for a more generous storage,4TB would've been great."
Pixie,5.0 out of 5 stars,Amazing console,Reviewed in the United Kingdom on 1 December 2020,Son loves it. Its worth every penny. So lucky I hot my hands on this back in November
Amazon Customer,5.0 out of 5 stars,Top bit of kit,Reviewed in the United Kingdom on 20 November 2020,What can I say.  Absolutely amazing console.All the hype is real.
Richard,5.0 out of 5 stars,Playstation 5 is impressive!,Reviewed in the United Kingdom on 20 November 2020,It arrived on the 20/11/2021 after ordering it mid day on the 19/11/2021.Set up was easy and intuative.The new controler is amazing!Bought it for demon souls (which was £70 it hurt spending that much on one game)!
Sunny Boy,5.0 out of 5 stars,Love it,Reviewed in the United Kingdom on 29 November 2020,Very happy with the performance one week in. No complaints. New controller is the future. Words can't describe the sensation when playing a game that utilises the dualsense features. Looking forward to this gen.
keiran,4.0 out of 5 stars,Ps5 amazing but faulty,Reviewed in the United Kingdom on 5 March 2021,The console is amazing it fast and looks amazing and bigger than I thought how ever after I received my ps5 I had issues it kept turning it self off while playing games like astro world and destiny and also did it while watching things on netfilx so I had to send it back and get a refund
R. Dixon,5.0 out of 5 stars,It’s a ps5,Reviewed in the United Kingdom on 12 April 2021,Much larger than previous models much quieter than previous versions able to remove cover to hoover out dust have to learn how to completely turn off the unit
stacy s.,5.0 out of 5 stars,AMAZING AMAZON,Reviewed in the United Kingdom on 23 March 2021,Amazing took a while to secure one but I actually love it had it a month and so far fingers crossed not one problemThe controller is amazing feels great works so smoothly as wellThe pulse 3D headset for £90 is amazing sounds much better then the gold PS4 one I had
DARREN P.,5.0 out of 5 stars,Quality from Sony is excellent,Reviewed in the United Kingdom on 20 November 2020,This console is so quick and so far silent.Lots of detail on casing get a magnifying glass and look at the controller it’s a bit of fun but shows Sony cares about design too.
Kevin Barry Campbell,5.0 out of 5 stars,Ps55555555,Reviewed in the United Kingdom on 6 January 2021,"Daughter loves it, next day delivery booooom"
Mr. M. Sidwell,4.0 out of 5 stars,"PlayStation 5 - Great loading times, but poor choice of games",Reviewed in the United Kingdom on 11 March 2021,"Although it was a struggle to purchase a PlayStation 5, I did manage to get out and it has met my expectations.I would admit that other than faster loading times, improved graphics and a decent fitting controller, there isn't much else that requires you to upgrade to PS5 from PS4 or PS4 Pro. There is a lack of games!."
DJL,5.0 out of 5 stars,Finally,Reviewed in the United Kingdom on 11 December 2020,"Replacement PS5 arrived after a delivery mishap, very happy with it, nice controller, graphics are amazing, system runs very well. Amazon your back on the map!"
Amazon Customer,5.0 out of 5 stars,"If you can get one, GET ONE!",Reviewed in the United Kingdom on 20 December 2020,"Was lucky enough to get one on release day and am very glad I did. I've had no issues with it at all and all the hype is justified. Got Demons Souls with it and was blown away by it. The loading times, graphics and frame rate are superb as expected, but it's the the sound (I have a headset) and control pad that surprised me. Both are absolutely amazing and really adds to the 'next gen' feel. Overall I couldn't be happier with it."
Faisal Kharabsheh,5.0 out of 5 stars,Superb next generation console,Reviewed in the United Kingdom on 22 November 2020,"A great console that is ahead of its time. great design and easy to put together, quiet but huge, might need to consider cabinet space.The controller is so advanced that will make other controller seem like old joysticks.It comes with a free downloaded game (Astro’s playroom) that demonstrates the power of the Duelsense controller.Highly recommended once it’s back on stock again."
Paul E,1.0 out of 5 stars,It worked for 2 months then just stopped Amazon very helpful,Reviewed in the United Kingdom on 27 April 2021,"Was a good system until it broke, had it sine 17 Feb so lasted just over 2 months.  Amazon were very helpful accepting it as a return for full refund and didn't make it a diffict transition thanks Amazon, shame on Sony for producing a product that didn't last 2 minutes"
Mick,5.0 out of 5 stars,Big but nice console,Reviewed in the United Kingdom on 23 November 2020,"Not had a single problem with the actual console, external HD works fine, My console was out for delivery then reported a problem, then was back at depot and the out for delivery later? Received early evening. Highly recommended if you can get one."
GlenGDN,5.0 out of 5 stars,Great! Does everything I expected and more.,Reviewed in the United Kingdom on 20 November 2020,"Everything works perfectly, super fast loads,  and the controller is fantastic.  Just need a VR 2.0 and PS5 VR games and will be the best."
Mark Fleming,5.0 out of 5 stars,PS5 is an excellent upgrade to PS4!,Reviewed in the United Kingdom on 19 November 2020,"What’s not to love. Excellent performance, easy to setup and transfer all files from PS4. Controller is fantastic and the haptic feedback is a lovely new addition."
Matthew,4.0 out of 5 stars,Great new console,Reviewed in the United Kingdom on 21 November 2020,"Much faster than the ps4 and the controller is an upgrade to an already very good controller. Not a fan on the ""out there"" design of the console, would have mucha rather a similar look to the xbox"
MILES O.,3.0 out of 5 stars,Brilliant for Gaming but disappointing for entertainment uses,Reviewed in the United Kingdom on 2 March 2021,Don’t know what’s up with Sony for not getting an internet browser available on the PS5. And so many video apps aren’t available yet. Performance for gaming is excellent but this money should be for more than just gaming. Also we should have more options if playing music than just Spotify. I have Apple Music personally so unless you have Spotify already this is not something you’ll love when adverts interrupt your gaming experience
Graeme,5.0 out of 5 stars,Excellent!,Reviewed in the United Kingdom on 22 November 2020,"The machine itself is wonderful, as is the controller. So It gets 5 stars.The unprofessional delivery however gets 0 stars. Drivers used to confirm you were in when delivering. This console was just dumped on my doorstep, driver rang the bell and walked off, nowhere to be seen.If I'd not been in, it could have got nicked"
Emperor Rosko,5.0 out of 5 stars,My favourite console of the next gen systems!,Reviewed in the United Kingdom on 29 December 2020,"Amazing console, such an improvement over the PS4 Pro in every way!Graphics, the OS and UI, the controller.If you can get one, get one!"
Turner17,5.0 out of 5 stars,Why buy an Xbox when you can purchase the God-box?,Reviewed in the United Kingdom on 1 December 2020,"Best console of the generation. Quicker loading times for existing PS4 games, online games stream like a dream and the HDR appears improved. I know many Xboxers will disagree on principal, but as someone who’s owned both, this is the best!"
Jossh,5.0 out of 5 stars,Completely Satisfied,Reviewed in the United Kingdom on 20 November 2020,Highly Recommend! Can't fault this next gen experience. Astro's Playroom comes preinstalled on the console and really helps to showcase the haptic feedback you receive through the new dual-sense controller. I am currently playing Watchdogs Legion and I'm looking forward to Gran Turismo 7 coming soon!
Steve,5.0 out of 5 stars,Ultra HD 4K Gaming at its finest,Reviewed in the United Kingdom on 19 November 2020,"Amazing console, I think it looks great. Mine has to stand up due to the size as it blocks part of the TV otherwise. So far, the graphics and sound are fantastic and the games launched with the console are brilliant."
rio Casey,5.0 out of 5 stars,Amazing console,Reviewed in the United Kingdom on 8 January 2021,I love this console the graphics are amazing so are the load times I would recommend this if your looking for a good gaming rig it has ray-tracing and the games on it are amazing
Simpkin,1.0 out of 5 stars,Free speech.,Reviewed in the United Kingdom on 3 May 2021,I don’t intent to review anything more from Amazon. You censor people’s views and do not allow reviews that you don’t like because they are truthful.
Jason,5.0 out of 5 stars,Worth The Wait,Reviewed in the United Kingdom on 21 February 2021,"Awesome. Was very lucky to get one as was just on the site at the right time without even knowing about the drop. What I will say is don’t give up. This system is brilliant. The Amazon element was also great, delivered next day with free premium coded delivery."
Jamie Randall,4.0 out of 5 stars,Brilliant but keeps disconnecting from wifi,Reviewed in the United Kingdom on 6 May 2021,Next gen gaming is here! Brother was so excited when I gave it to him. Graphics amazing. Smooth gameplay. Just fantastic. Only downsides is the games library as there isn't that many games out for it yet and the fact it keeps disconnecting from the Internet. Apparently its a common fault but still enjoyable.
David M,3.0 out of 5 stars,"Finally here, although fragile design.",Reviewed in the United Kingdom on 29 December 2020,"Great loading times and next gen console.  Iffy build quality on the console itself, plastics feel cheap and the controller is poor quality control, as triangle button sticks and not as accurate as the rest.  A step back on quality of the original PS4."
kelly,5.0 out of 5 stars,Keep clicking the add to basket button!!,Reviewed in the United Kingdom on 6 April 2021,"Keep clicking add to basket button until Amazon officially announce they are out of stock. Amazon smile a good shout too.After trying everywhere for months was pleased to finally receive from Amazon, with a stellar delivery too."
Jacob Henderson,5.0 out of 5 stars,Great Console!,Reviewed in the United Kingdom on 15 April 2021,"Very strong candidate this year if you can get your hands on one! Very impressed overall with its performance and power, would reccomend!"
RG,5.0 out of 5 stars,"If you can get one, I recommend getting one!",Reviewed in the United Kingdom on 26 March 2021,I'm sure you must have watched a lot of reviews on YouTube and I can't say anything different but I can only confirm that it is truly a next gen experience.
Simon roberts,5.0 out of 5 stars,Don't listen to much about the ps5 problems they will be ironed out,Reviewed in the United Kingdom on 20 November 2020,So far all the horror stories just hasent happens to me yet crashing freezing nothing at all god this is a real next gen bit of kit over the moon is how I feel if you planning on getting a next gen console ps5 is the way to go
Jess,5.0 out of 5 stars,Very good,Reviewed in the United Kingdom on 21 November 2020,The console itselfs graphics alone are stunning the games available to purchase are absolutely amazing and the stand is simple to place on and the dual sense controller allows you to immerse yourself into the game.
Harry A,5.0 out of 5 stars,Amazing,Reviewed in the United Kingdom on 9 March 2021,Fantastic console. It really feels like next gen. The controllers have amazing haptic feedback that lets you feel resistance when squeezing the triggers. An amazing product
jacob Rogers,5.0 out of 5 stars,Oh it's a big boy,Reviewed in the United Kingdom on 19 November 2020,"Great console with plenty of powerYes it's big, you'll want to put it somewhere with plenty of ventilation.Love the feeling of the controller!"
Lewis Fairbrother,5.0 out of 5 stars,Couldn't be happier,Reviewed in the United Kingdom on 9 December 2020,"Over the moon with this console. It's everything I loved about the PS4 but with faster load times, a quiet fan and phenomenal graphics. The Dual Sense truly is next-gen and makes going back to the PS4 Dual Sense seem retro even after a couple of hours. Astro Bots shows this off extremely well which is a free game pre-installed on the console."
Tom Marsh,5.0 out of 5 stars,It's game time,Reviewed in the United Kingdom on 19 November 2020,Very please was totally worth the wait
George Munteanu,5.0 out of 5 stars,Definitely recommend it for every gamer  thank you Amazon prime,Reviewed in the United Kingdom on 17 December 2020,"Its silent and works amazing , I think the only issue that I might have is the controller it is awesome but on several games you need to turn off the haptic feed back cuz its destroying the trigger I broke my controller due to it will playing fifa . I this is due to the haptic feed back so I assume I can change the controller as it is in guarantee?"
Amazon Customer,5.0 out of 5 stars,Great new controller,Reviewed in the United Kingdom on 24 November 2020,Was not sure if this would arrive after pre ordering but glad it did great present for my husbands 40th. Not played a new game yet but astro playroom is great to get on with controller
Big Jimmy Thunder,5.0 out of 5 stars,Next generation gaming,Reviewed in the United Kingdom on 20 November 2020,Love this machine. Logged into my PSN account and all my games were there. Loaded up Miles Morales and it immediately blew me away. This is a special console.
Ant,5.0 out of 5 stars,Definitely Next Gen!,Reviewed in the United Kingdom on 19 November 2020,"Very impressed, well packaged by Sony/Amazon, fast setup and Astros playroom that comes pre installed is an amazing game to get used to the controller, no issues so far and very quiet!"
Dan B,5.0 out of 5 stars,Awesome gaming system,Reviewed in the United Kingdom on 28 April 2021,"The SSD in this thing is exceptionally quick, the game loads and the save restores are just amazing. There is, however a current lack of content for this console, obviously this will change, but replaying old games without any lagging is so much fun!"
Kakarot,5.0 out of 5 stars,Perfect,Reviewed in the United Kingdom on 4 December 2020,"Arrived for me day 1 great service by Amazon, packaged very well and everything worked perfectly, would highly recommend ordering from here when available."
Marty,5.0 out of 5 stars,Class,Reviewed in the United Kingdom on 23 January 2021,All the negative reviews had me worried but we had no problems what so ever. Easy to set up and transfer content over from ps4
Ali Hollis,5.0 out of 5 stars,Next Gen,Reviewed in the United Kingdom on 22 March 2021,"For anyone who missed out on a PS4 like myself, this is just fantastic. Yes the current PS5 lineup isn't great but being able to play PS4 titles in 4K HDR, most of which are free out of the box, is just a winner."
Andy D,5.0 out of 5 stars,Amazing!,Reviewed in the United Kingdom on 1 December 2020,The PS5 is amazing!  Very fast and very quiet.  So many fantastic games to play and I am looking forward to the next year more than this year...
Naiha Ali,5.0 out of 5 stars,Great buy!,Reviewed in the United Kingdom on 6 December 2020,"Really happy I managed to actually get the PS5, next day early delivery day after launch. Love the experience, but was on edge hearing about stolen PS5's. Lucky I got it!"
G Mercer,5.0 out of 5 stars,Play has No Limits...,Reviewed in the United Kingdom on 20 November 2020,Amazing! I feel sorry for everyone who could get one due to scalpers but on a plus note when you do they will have some even better games out ready
Jesus Caldeira,5.0 out of 5 stars,Bought for lil brother,Reviewed in the United Kingdom on 20 November 2020,It works fine! Thanks a lot sony
Kentish girl,5.0 out of 5 stars,Son is thrilled,Reviewed in the United Kingdom on 20 November 2020,"Managed to bag one, just one, for my 11 year old who saved up for it himself. Shame on those buying them up and selling at extortionate prices."
sam,5.0 out of 5 stars,delivered on time !,Reviewed in the United Kingdom on 19 November 2020,"Absolutely delightful purchase ! preordered without any messing and delivered with care on date of release, my sons birthday present thnx Amazon"
ProductReviews1,5.0 out of 5 stars,Superb,Reviewed in the United Kingdom on 19 March 2021,Finally got a PS5 and its brilliant the picture is amazing and really like the new control just need more games to be released now
^_^,5.0 out of 5 stars,Amazing console - terrible launch!,Reviewed in the United Kingdom on 1 February 2021,"Took me ages to get my hands on one due to all the scalpers, finally did thanks to a discord group in following and gave me a push notification.The design of the console is nice and sleek, control feels nice too but heavy and a bit bulky, am sure in time I’ll get used to it.Ordered and then it was delivered day after with no issues"
jakir hussain,5.0 out of 5 stars,Amazing 👏,Reviewed in the United Kingdom on 30 January 2021,Iv been searching for ages and Amazon came through for me. I got lucky. Amazon delivered it a whole day earlier than expected. fast and efficient as always. the ps5 is a great bit of kit. iv had no issues with mine so far fingers crossed. the controller is amazing!!!!!!
TAJ,5.0 out of 5 stars,Amazing,Reviewed in the United Kingdom on 15 January 2021,Bought as a gift. Firstly thank you amazon! I got one! Very happy son. Superb graphics. Great games. Just everything about it is brilliant.
Paul Wathan,5.0 out of 5 stars,Incredible console even better controller,Reviewed in the United Kingdom on 20 November 2020,"Left it 24hrs since setting up the console for a full review.Its an incredible machine,silent,rapid,smart and easy to use.The psn collection is incredible value,free God of war and days gone which both look stunning on the ps5.The controller is better than any i have ever used,astros play room is better than any family game i have played since wii sports.Cant recommend it highly enough"
Ewan Burrow,4.0 out of 5 stars,Good,Reviewed in the United Kingdom on 6 March 2021,The PS5 is great! However much like the PS4 there are a few minor issues that can be fixed further down the road. Only small things like a system crash or maybe a game crashing. The Menu system can be quite annoying as to access certain features it feels like you are going through 100 menus.
MarkG,5.0 out of 5 stars,Awesome,Reviewed in the United Kingdom on 7 April 2021,There is not a lot to say. Graphics are great. It's quiet. I love the new pad. It's a big device though. A lot bigger then previous console
iain weir,5.0 out of 5 stars,Outstanding console,Reviewed in the United Kingdom on 19 November 2020,Phenomenal console. Lightning fast and whisper quiet. The duelsense is a revolution in controller design and has to be used to see why.
Becky Riley,5.0 out of 5 stars,After 3 weeks with the PS5,Reviewed in the United Kingdom on 10 December 2020,"Held back on writing a review until I’d had a bit of time on the PS5. I’ve platinum trophies on Miles Morales, Bugsnax and Astro’s playroom.It’s a very impressive system. The dual sense is a game changer, as the the SSD. Very pleased I got one."
Alex,5.0 out of 5 stars,Yaaayyy,Reviewed in the United Kingdom on 23 February 2021,"Can't believe I managed to buy one. I like the design. Didn't get to play with all its features. Playing Spider-Man Miles Morales and Valhalla, everything is spot on."
HolyDragonCasios,5.0 out of 5 stars,Really nice and quick delivery,Reviewed in the United Kingdom on 2 December 2020,Thankful that my PS5 wasn't lost after I saw the news of PS5 stolen events. The product quality is really excellent. Next-gen console definitely!
Dave Cherry,5.0 out of 5 stars,This is another level,Reviewed in the United Kingdom on 20 November 2020,"Went from the PS4 pro to ps5 expecting some incremental upgrades. This was very much understated. The whole experience has been improved. Faster, improved visuals and the new controller is a game changer."
Jordan S.,5.0 out of 5 stars,Next Gen!,Reviewed in the United Kingdom on 20 November 2020,"Wow, wow wow wow wow this is an absolute steal for £450 easily worth £700-£800 the graphics and load times are insane and the controller is truly revolutionary this is the next gen of gaming! It is absolutely silent I am very impressed with this console 10/5"
Alex K.,5.0 out of 5 stars,PS5 🎮🔥,Reviewed in the United Kingdom on 23 November 2020,"No problems so far and loving the new UI, Graphics and 3D sound quality, definitely a big improvement all round on the PS4 Pro👍🔥"
Gammon Buster,5.0 out of 5 stars,A big step up from the PS4.,Reviewed in the United Kingdom on 30 November 2020,"The ps5 does everything you would want from a next console. 4K gaming, streaming and blu-rays, vastly improved graphics, almost no load times and really quick game installation.There are a few bugs and the console has crashed twice now, but that's to be expected from such a new piece of hardware."
Serp,5.0 out of 5 stars,Somehow managed to beat the Scalpers,Reviewed in the United Kingdom on 19 March 2021,"Console is great as expected, well worth the wait in my opinion. The only thing that's a let down is the whole process to actually purchase a playstation 5. Poor website bot and scalper preventions have turned the beginning of this console generation into a rage inducing, sleep deprived joke. I wish everyone good luck in hunting one down and don't give up."
raymond brown,5.0 out of 5 stars,great games machine.,Reviewed in the United Kingdom on 11 April 2021,"great games machine, sorry i paid over the adds for it. but they are still hard to get, thanks for hours of game play, thanks to you Amazon...."
C. G. Mcintosh,5.0 out of 5 stars,Massively impressed,Reviewed in the United Kingdom on 19 March 2021,What a bit of kit. I’m blown away by how Demons Souls looks after playing it on the PS3. Really stepped up in quality and the new controller with haptics is awesome.
heidi hanslip,1.0 out of 5 stars,Scam,Reviewed in the United Kingdom on 13 December 2020,Scam.
Michael Lai,5.0 out of 5 stars,Playstation 5,Reviewed in the United Kingdom on 10 March 2021,"Fantastic service, arrived next day after ordering, being a prime customer. I know these are hard to come by and was trying for months to get one. Very pleased. Well worth the wait. Quiet and fast, graphics are amazing and immersive. The kids love playing on it. Highly recommended."
Noad,2.0 out of 5 stars,overrated,Reviewed in the United Kingdom on 14 March 2021,"not worth its hype , simply just an unnecessary upgrade"
Mohammed Ifthekar Ahmed Lais,5.0 out of 5 stars,An Absolute game changer!!,Reviewed in the United Kingdom on 11 March 2021,"This is the next generation of gaming brought to life, an absolute game changer when hooked up to my 4K tv. The game quality at 120hz really makes all the difference in the gaming experience. As an owner of xbox series x too, both consoles are i currently use and the PS5 definitely is competing with the xbox series x."
Carmelo,5.0 out of 5 stars,Next-Gen Console is here!,Reviewed in the United Kingdom on 20 November 2020,Loving new console!Astro game it’s a pass to understand how cool is the new Dual Sense.I can see improvements on speed and graphics.New restyling on all system to let you know that nex-gen is arrived!Welcome PS5
richieh,5.0 out of 5 stars,So lucky,Reviewed in the United Kingdom on 19 March 2021,"It’s just amazing, can’t really say much more than that. Would definitely get the disc edition, I originally wanted the digital but got this one by chance happened to be on the website when it went Iive so bought it. Storage space isn’t great so after a few games digital space fills up also, there are some good offers on disc games."
some people are just odd,5.0 out of 5 stars,Wow,Reviewed in the United Kingdom on 20 November 2020,"The graphics, the load in times, the ease to swap games and start within a few seconds, is simply incredible progress by Sony compared to the previous gen, the haptic controller feedback is a pretty nifty feature alsoLoving every second of it!"
ASHLEY BICKERSTAFFE,5.0 out of 5 stars,Awesome,Reviewed in the United Kingdom on 20 November 2020,"It’s much bigger and heavier than I expected it to be.  Performance and graphics are great.The new controller is awesome!Was great to get it on release date, althoughbe ready do spend a few hours doing updates."
Emma,5.0 out of 5 stars,Great console.,Reviewed in the United Kingdom on 22 November 2020,"Managed to purchase mine on launch day and it is absolutely amazing, even down to the controller, I have not had a single problem so far, no freezing, crashing or anything like that, runs extremely smooth. The haptic triggers feel great and give you a great feeling of immersion.To anyone that didn't manage to get one LOL guess you'll have to wait."
Jb,5.0 out of 5 stars,Amazing console.,Reviewed in the United Kingdom on 2 April 2021,"The console is amazing, really liking the superfast loading and graphics. When compared the the Xbox Series X which i have have PS5 defo if lookkng faster loading on same games on both consoles. I wantes one since come out and glad was finally able to get 1. The controller is really great aswell with the haptic sensors and  Astros is addictive."
Naurisimo,5.0 out of 5 stars,Perfeclyt fine.,Reviewed in the United Kingdom on 27 November 2020,All good here have had no issues with nothing as of now and hope for non in the future.DualSense controller feels very nice after the initial period of getting used to something new.Everything else is in running order.
SL,5.0 out of 5 stars,5.0 out of 5 stars,Reviewed in the United Kingdom on 4 March 2021,Verified Purchase
Mr. J. Hall,5.0 out of 5 stars,Simply outstanding,Reviewed in the United Kingdom on 21 November 2020,"I love it, so quick, so smooth, so quiet. Works flawlessly, runs all my PS4 stuff, and the new PS5 games. The controller is amazing."
ReggaeRastaPete,5.0 out of 5 stars,Consoles massive and I still think it looks horrible,Reviewed in the United Kingdom on 2 May 2021,A change in delivery caused a problem but still delivered quick and the rep was good at trying to help resolve the issue. Had to be really quick to get the item tho. All in all happy with it but Sony’s pricing is getting ridiculous for games. No luck with the other console yet tho.
DarrenB,5.0 out of 5 stars,Excellent machine,Reviewed in the United Kingdom on 29 December 2020,I don’t often write reviews but having consoles since the mega drive this is such a transformative leap.This is the best place to play the last gen in silence and 4K with far better load times especially if patched. I think it will be 12-36 months before we see the spectacular. Very happy
tanya cowley,4.0 out of 5 stars,Arrived on time,Reviewed in the United Kingdom on 7 January 2021,Arrived on 19th nov no problem with it so far only problem is the console is very big so storage mite be an issue
